"source_path","source_blob_sha","source_size","classification","reason","target_snapshot_path","target_blob_sha"
".github/workflows/v03-smoke.yml","107c61d5f504b84375b3a4dffbc5af1d1d4939df","1800","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/.github/workflows/v03-smoke.yml","107c61d5f504b84375b3a4dffbc5af1d1d4939df"
".github/workflows/v04-governance-smoke.yml","2638024c8843fa0b0e812e8d2c1ece5ca608daa0","3085","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/.github/workflows/v04-governance-smoke.yml","2638024c8843fa0b0e812e8d2c1ece5ca608daa0"
".gitignore","3685bcd1046168ba92ccf661af10222378a3b613","827","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/.gitignore","3685bcd1046168ba92ccf661af10222378a3b613"
".python-version","24ee5b1be9961e38a503c8e764b7385dbb6ba124","5","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/.python-version","24ee5b1be9961e38a503c8e764b7385dbb6ba124"
"AGENTS.md","97afa9d1b8460246351700f842df792193362930","11968","INTENTIONALLY_PRIVATE","private CUMCM workbench agent contract; generalization belongs to later development","",""
"config/agent_routes.yaml","9942171371111e7c1727260546a494f626702df5","2020","INTENTIONALLY_PRIVATE","provider/skill/teacher-specific private workbench configuration","",""
"config/contest_visual.yaml","3030dab52aab5efc8a6656abb0b2c0e6988754ba","3860","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/contest_visual.yaml","3030dab52aab5efc8a6656abb0b2c0e6988754ba"
"config/evidence_governance.yaml","2bc9371300c88bdf00ba737ae325c0e3220d7637","5632","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/evidence_governance.yaml","2bc9371300c88bdf00ba737ae325c0e3220d7637"
"config/figure_contracts.yaml","1272d60e6c8d5fd97db88c69f12feba0451831f1","635","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/figure_contracts.yaml","1272d60e6c8d5fd97db88c69f12feba0451831f1"
"config/figure_quality.yaml","d0d828f6a0a6220c35ea642ed96e5e127303f422","6115","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/figure_quality.yaml","d0d828f6a0a6220c35ea642ed96e5e127303f422"
"config/method_router.yaml","ad925e1445e02a50fd4360f024840e8391361857","5506","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/method_router.yaml","ad925e1445e02a50fd4360f024840e8391361857"
"config/paper_facts.yaml","e61bfbf0e4875d3198fc6fb1d2ae9142c3bc69c4","176","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/paper_facts.yaml","e61bfbf0e4875d3198fc6fb1d2ae9142c3bc69c4"
"config/paper_language_rules.yaml","57fd423518503b238861cc5f983598e8a594c0f0","3847","MIGRATED_EXACT","source Git blob SHA equals target committed snapshot blob SHA","migration_sources/cumcm-2026-mmkit-v04/config/paper_language_rules.yaml","57fd423518503b238861cc5f983598e8a594c0f0"
